"","ZIP.code","Bank account or service","Consumer loan","Credit card","Credit reporting","Debt collection","Money transfers","Mortgage","Other financial service","Payday loan","Prepaid card","Student loan"
"211",739,2,0,2,3,1,0,1,0,0,0,1
"212",741,1,0,1,4,1,0,0,0,0,0,0
"213",743,0,0,1,0,1,0,0,0,0,0,0
"214",745,2,0,0,5,1,0,4,0,0,0,0
"215",748,0,0,0,0,1,0,0,0,0,0,0
"216",751,0,0,0,1,0,0,0,0,0,0,0
"217",754,2,0,1,0,2,0,0,0,0,0,0
"218",759,1,0,0,0,0,0,0,0,0,0,0
"219",761,0,0,0,1,0,0,0,0,0,0,0
"220",766,1,0,0,0,1,0,0,0,0,0,0
"221",767,0,0,0,3,0,0,0,0,0,0,0
"222",769,0,0,1,4,1,0,0,0,0,0,0
"223",771,3,1,1,0,2,0,1,0,0,0,0
"224",772,0,0,1,0,0,0,0,0,0,0,0
"225",773,0,0,2,0,0,0,0,0,0,0,0
"226",775,1,0,0,0,0,0,0,0,0,0,0
"227",777,1,0,5,1,3,0,0,0,0,0,0
"228",778,1,0,1,1,2,0,4,0,0,0,0
"229",780,2,1,1,0,1,0,0,0,0,0,1
"230",782,1,0,1,0,0,0,0,0,0,0,0
"231",783,0,1,1,0,0,0,0,0,0,0,0
"232",784,1,1,1,1,1,0,0,0,0,0,0
"233",785,0,0,0,6,0,0,1,0,0,0,0
"234",791,2,0,3,2,0,0,2,0,0,0,0
"235",792,1,0,0,0,0,0,1,0,0,0,0
"236",794,2,0,0,4,0,0,1,0,0,0,0
"237",795,1,1,0,7,2,0,1,0,0,0,0
"238",801,2,0,1,1,1,0,0,0,0,0,0
"239",802,3,0,2,0,2,1,5,0,0,0,0
"240",803,1,0,1,0,1,1,1,0,0,0,0
"241",804,0,0,1,1,1,0,4,0,0,0,0
"242",813,0,0,0,0,0,0,2,0,0,0,0
"243",815,0,0,1,0,1,0,0,0,0,0,0
"244",820,0,0,2,0,0,0,1,0,0,0,0
"245",821,1,0,1,1,0,0,0,0,0,0,0
"246",822,1,0,0,0,0,0,1,0,0,0,0
"247",823,0,0,0,1,0,0,1,0,0,0,0
"248",824,0,0,1,0,0,0,0,0,0,0,0
"249",830,0,0,0,0,0,0,1,0,0,0,0
"250",831,1,0,3,0,0,0,0,0,0,0,0
"251",833,0,0,0,0,0,0,0,0,0,0,2
"252",835,0,0,0,0,1,0,0,0,0,0,0
"253",838,0,0,0,2,0,0,0,0,0,0,0
"254",840,1,0,0,0,0,0,0,0,0,0,0
"255",841,0,0,0,1,1,0,0,0,0,0,0
"256",850,0,0,0,0,0,0,1,0,0,0,0
"257",851,3,0,2,0,2,0,1,0,0,0,0
"258",859,0,0,0,0,0,0,1,0,0,0,0
"259",863,0,0,0,1,0,0,0,0,0,0,0
"260",876,0,0,0,0,0,1,0,0,0,0,0
"261",901,2,0,0,0,1,0,2,0,0,0,0
"262",902,0,0,2,0,1,0,2,0,0,0,0
"263",904,1,0,0,0,0,0,0,0,0,0,0
"264",907,2,1,2,6,2,0,3,0,0,0,0
"265",908,0,0,2,0,0,0,0,0,0,0,0
"266",909,2,0,1,0,0,0,0,0,0,0,0
"267",910,1,0,1,0,2,0,1,0,0,0,0
"268",911,1,0,2,11,2,0,2,0,0,0,0
"269",912,0,0,1,0,2,0,0,0,0,0,0
"270",913,2,0,0,0,0,0,1,0,0,0,0
"271",914,1,0,0,0,0,0,3,0,0,0,0
"272",915,0,1,1,0,0,1,1,0,0,0,0
"273",917,0,1,2,0,0,0,0,0,0,0,0
"274",918,0,0,1,6,3,0,2,0,0,0,0
"275",919,1,0,0,0,3,0,1,0,0,0,0
"276",920,4,0,4,3,1,0,0,0,0,0,0
"277",921,5,0,2,20,16,1,0,0,0,0,0
"278",922,0,0,2,1,0,0,0,0,0,0,0
"279",923,0,0,4,0,1,0,0,0,0,0,0
"280",924,1,0,5,1,0,0,1,0,0,0,0
"281",925,0,0,2,0,0,0,0,0,0,0,0
"282",926,2,2,5,5,6,0,7,0,0,0,2
"283",927,0,0,2,7,0,0,2,0,0,0,0
"284",928,0,0,3,0,2,0,0,0,0,0,0
"285",929,1,0,2,3,0,0,3,0,0,0,0
"286",934,0,0,0,1,0,0,1,0,0,0,0
"287",936,1,0,2,2,1,0,3,0,0,0,0
"288",937,0,0,0,1,0,0,0,0,0,0,0
"289",940,0,0,0,1,0,0,1,0,0,0,0
"290",944,0,0,0,1,0,0,0,0,0,0,0
"291",949,2,2,3,4,7,0,6,0,0,0,0
"292",950,0,0,1,0,0,0,0,0,0,0,0
"293",951,0,0,1,2,0,0,0,0,0,0,0
"294",952,1,0,4,2,1,0,1,0,1,0,0
"295",953,1,0,2,4,1,0,6,0,0,0,0
"296",954,1,0,0,0,0,0,0,0,0,0,0
"297",955,0,0,0,0,0,1,0,0,0,0,0
"298",956,1,0,5,0,2,0,2,0,0,0,0
"299",957,1,0,1,0,3,0,0,0,0,0,1
"300",959,3,0,3,6,1,0,1,0,0,0,0
"301",960,0,0,0,6,2,0,1,0,0,0,0
"302",961,1,0,2,0,1,0,1,0,0,0,0
"303",962,0,0,2,0,0,0,0,0,0,0,0
"304",963,1,0,0,0,0,0,0,0,0,0,0
"305",965,0,0,1,2,1,0,0,0,0,0,0
"306",966,1,0,3,2,0,0,3,0,0,0,0
"307",968,0,0,2,1,1,0,2,0,0,0,0
"308",969,3,0,2,1,1,0,4,0,0,0,0
"309",970,0,0,0,0,0,0,3,0,0,0,0
"310",971,1,0,1,0,1,0,0,0,0,0,0
"311",976,1,0,0,3,1,0,2,0,0,0,0
"312",977,0,0,3,4,0,0,1,0,0,0,0
"313",978,0,0,0,3,0,0,0,0,0,0,0
"314",979,1,1,3,6,1,0,0,0,0,0,2
"315",982,1,2,2,4,0,0,1,0,0,0,0
"316",983,1,0,2,4,1,0,2,0,0,0,0
"317",984,2,0,2,6,0,0,2,0,0,0,0
"318",985,5,1,2,4,4,0,1,0,0,0,0
"319",986,0,0,0,1,3,0,0,0,0,0,0
"320",987,0,1,2,2,0,0,5,0,0,0,1
"321",988,2,0,0,0,0,0,1,0,0,0,0
"322",1000,0,0,0,0,0,0,1,0,0,0,0
"323",1001,0,1,1,0,2,0,7,0,0,0,1
"324",1002,3,0,7,2,0,0,2,0,0,0,3
"325",1004,1,0,0,0,3,0,0,0,0,0,0
"326",1005,1,0,0,0,0,0,1,0,0,1,0
"327",1007,2,2,4,1,1,0,5,0,0,0,2
"328",1008,1,0,0,0,0,0,0,0,0,0,0
"329",1009,1,0,0,0,2,0,1,0,0,0,0
"330",1010,0,0,3,0,1,0,2,0,1,0,0
"331",1012,2,0,0,0,0,0,0,0,0,0,0
"332",1013,5,0,2,1,0,0,6,0,0,0,0
"333",1014,0,0,0,0,0,0,1,0,0,0,0
"334",1017,0,0,0,3,0,0,0,0,0,0,0
"335",1020,1,0,9,2,2,0,8,0,0,0,2
"336",1021,0,0,0,0,0,0,1,0,0,0,0
"337",1022,0,0,2,2,2,0,1,0,0,0,0
"338",1026,0,0,0,0,0,0,1,0,0,0,0
"339",1027,6,0,5,1,2,0,4,0,0,0,0
"340",1028,2,0,1,2,1,0,4,0,0,0,1
"341",1030,3,0,0,24,6,0,10,0,0,0,1
"342",1031,0,0,0,0,0,0,0,0,0,0,1
"343",1032,0,0,0,0,0,0,0,0,0,0,3
